"","fake_norm_red_lines_senti.domain_rank","fake_norm_red_lines_senti.spam_score","fake_norm_red_lines_senti.comments","fake_norm_red_lines_senti.type","fake_norm_red_lines_senti.Sentiment","obj","pos","neg"
"1",0.260328945,0,0,"bias","obj",1,0,0
"2",0.260328945,0,0,"bias","neg",0,0,1
"3",0.260328945,0,0,"bias","pos",0,1,0
"4",0.260328945,0.068,0,"bias","pos",0,1,0
"5",0.260328945,0.865,0,"bias","pos",0,1,0
"6",0.260328945,0,0,"bias","obj",1,0,0
"7",0.260328945,0.701,0,"bias","pos",0,1,0
"8",0.260328945,0.188,0,"bias","neg",0,0,1
"9",0.260328945,0.144,0,"bias","pos",0,1,0
"10",0.260328945,0.995,0,"bias","pos",0,1,0
"11",0.260328945,0,0,"bias","pos",0,1,0
"12",0.260328945,0.998,0,"bias","pos",0,1,0
"13",0.260328945,0,0,"bias","pos",0,1,0
"14",0.260328945,0.001,0,"bias","obj",1,0,0
"15",0.260328945,0,0,"bias","obj",1,0,0
"16",0.260328945,0,0,"bias","obj",1,0,0
"17",0.260328945,0.268,0,"bias","pos",0,1,0
"18",0.260328945,0,0,"bias","neg",0,0,1
"19",0.260328945,0,0,"bias","pos",0,1,0
"20",0.260328945,0,0,"bias","pos",0,1,0
"21",0.260328945,0.19,0,"bias","pos",0,1,0
"22",0.260328945,0,0,"bias","obj",1,0,0
"23",0.260328945,0,0,"bias","pos",0,1,0
"24",0.260328945,0,0,"bias","pos",0,1,0
"25",0.260328945,0,0,"bias","obj",1,0,0
"26",0.260328945,0,0,"bias","neg",0,0,1
"27",0.260328945,0,0,"bias","pos",0,1,0
"28",0.260328945,0.256,0,"bias","neg",0,0,1
"29",0.260328945,0,0,"bias","pos",0,1,0
"30",0.260328945,0,0,"bias","pos",0,1,0
"31",0.260328945,0,0,"bias","obj",1,0,0
"32",0.260328945,0,0,"bias","obj",1,0,0
"33",0.260328945,0,0,"bias","pos",0,1,0
"34",0.659491888,0,0,"fake","pos",0,1,0
"35",0.659491888,0.009,0,"fake","pos",0,1,0
"36",0.187810983,0,0,"bs","pos",0,1,0
"37",0.187810983,0,0,"bs","pos",0,1,0
"38",0.187810983,0,0,"bs","pos",0,1,0
"39",0.187810983,0,0,"bs","pos",0,1,0
"40",0.187810983,0,0,"bs","pos",0,1,0
"41",0.187810983,0,0,"bs","pos",0,1,0
"42",0.187810983,0,0,"bs","pos",0,1,0
"43",0.187810983,0,0,"bs","neg",0,0,1
"44",0.187810983,0,0,"bs","pos",0,1,0
"45",0.187810983,0,0,"bs","pos",0,1,0
"46",0.187810983,0,0,"bs","pos",0,1,0
"47",0.187810983,0,0,"bs","pos",0,1,0
"48",0.187810983,0,0,"bs","neg",0,0,1
"49",0.187810983,0,0,"bs","pos",0,1,0
"50",0.187810983,0,0,"bs","pos",0,1,0
"51",0.187810983,0,0,"bs","neg",0,0,1
"52",0.187810983,0,0,"bs","pos",0,1,0
"53",0.187810983,0,0,"bs","pos",0,1,0
"54",0.187810983,0,0,"bs","pos",0,1,0
"55",0.187810983,0,0,"bs","pos",0,1,0
"56",0.187810983,0,0,"bs","pos",0,1,0
"57",0.187810983,0,0,"bs","pos",0,1,0
"58",0.187810983,0,0,"bs","pos",0,1,0
"59",0.187810983,0,0,"bs","pos",0,1,0
"60",0.187810983,0,0,"bs","pos",0,1,0
"61",0.187810983,0,0,"bs","pos",0,1,0
"62",0.187810983,0,0,"bs","pos",0,1,0
"63",0.187810983,0,0,"bs","pos",0,1,0
"64",0.187810983,0,0,"bs","neg",0,0,1
"65",0.187810983,0,0,"bs","neg",0,0,1
"66",0.187810983,0,0,"bs","pos",0,1,0
"67",0.187810983,0,0,"bs","pos",0,1,0
"68",0.187810983,0,0,"bs","neg",0,0,1
"69",0.187810983,0,0,"bs","pos",0,1,0
"70",0.187810983,0,0,"bs","pos",0,1,0
"71",0.187810983,0,0,"bs","pos",0,1,0
"72",0.187810983,0,0,"bs","pos",0,1,0
"73",0.187810983,0,0,"bs","pos",0,1,0
"74",0.187810983,0,0,"bs","pos",0,1,0
"75",0.187810983,0,0,"bs","pos",0,1,0
"76",0.187810983,0,0,"bs","pos",0,1,0
"77",0.187810983,0,0,"bs","pos",0,1,0
"78",0.187810983,0,0,"bs","pos",0,1,0
"79",0.187810983,0,0,"bs","obj",1,0,0
"80",0.187810983,0,0,"bs","pos",0,1,0
"81",0.187810983,0,0,"bs","pos",0,1,0
