TEXT	Sentiment	
pay 'back' 'money' 'interest' 'entire' 'need' 'be' 'Why' 'take' 'year' 'bust' 'go' 'again' 'group' 'government' 'taxpayer' 'A' 'group' 'stole' 'government' 'benefit' 'month' 'numerous' 'case' 'Muslim' 'fraud' 's' 'way' 'More' 	neg' 	pos')
Attorney 'General' 'Fifth' 'Barracuda' 'Brigade' 'Print' 'administration' 'probe' 'cash' 'payment' 'Iran' 'course' 'need' 'plead' 'either' 't' 'recall' 'refuse' 'plain' 'question' 'Straight' 'up' 'corruption' 'Talk' 'Fifth' 'avoid' 'payment' 'core' 'Attorney' 'General' 'comply' 'investigation' 'member' 'Congress' 'administration' 's' 'secret' 'effort' 'send' 'Iran' 'cash' 'earlier' 'year' 'accusation' 'ha' 'Fifth' 'Amendment' 'avoid' 'payment' 'communication' 'exclusively' 'Washington' 'Free' 'Beacon' 'Mike' 'initially' 'October' 'series' 'question' 'cash' 'payment' 'Iran' 'wa' 'approved' 'response' 'Assistant' 'Attorney' 'General' 'Peter' 's' 'question' 'lawmaker' 'publicly' 'detail' 'cash' 'payment' 'wa' 'bound' 'up' 'ransom' 'deal' 'several' 'American' 'hostage' 'Iran' 'response' 'attorney' 'general' 's' 'office' 'unacceptable' 'evidence' 'ha' 'chosen' 'essentially' 'fifth' 'respond' 'role' 'cash' 'world' 's' 'state' 'sponsor' 'terrorism' 'Friday' 'follow-up' 'More' 	neg	
State 'News' 'Sunday' 'morning' 'Anthony' 'FBI' 'ha' 'yes' 'lefty' 'investigation' 'Hillary' 'Clinton' 's' 'email' 'Watch' 'Wallace' 'report' 'breaking' 'news' 'panel' 'end' 'show' 'news' 're' 'air' 'ha' 'sent' 'u' 'e-mail' 'ha' 'source' 'Anthony' 'also' 'laptop' 'FBI' 'investigation' 'laptop' 'so' 't' 'need' 'warrant' 'get' 'see' 'content' 'laptop' 'development' 'federal' 'investigation' 'often' 'get' 'consideration' 'judge' 'Given' 's' 'lying' 's' 'hard' 'believe' 'prosecutor' 'give' 'deal' 'agreement' 'testify' 'testimony' 'very' 'strongly' 'hard' 'evidence' 'cooperation' 'take' 'many' 'form' 'Wallace' 'morning' 's' 'show' 'form' 'be' 'consent' 'form' 'allow' 'content' 'device' 'probably' 'get' 'warrant' 'see' 's' 'cooperation' 'More' 	pos	
wa 'ISIS' 'chance' 'horrific' 'story' 'father' 'pin' 'drop' 'wa' 'so' 'want' 'give' 'Trump' 'be' 'great' 'share' 	pos	
HEALTHCARE 'REFORM' 'MAKE' 'AMERICA' 'GREAT' 'March' 'American' 'people' 'have' 'suffer' 'incredible' 'economic' 'burden' 'Care' 'legislation' 'totally' 'partisan' 'vote' 'House' 'Senate' 'law' 'most' 'partisan' 'President' 'American' 'history' 'ha' 'tragically' 'predictably' 'runaway' 'cost' 'don' 't' 'work' 'rationing' 'care' 'higher' 'premium' 'competition' 'choice' 'ha' 'economic' 'uncertainty' 'single' 'person' 'country' 'As' 'collapse' 'own' 'weight' 'damage' 'President' 'Court' 'be' 'repair' 'next' 'President' 'Republican' 'congress' 'lead' 'effort' 'bring' 'free' 'market' 'reform' 'industry' 'must' 'act' 'representative' 'House' 'Senate' 'must' 'repeal' 'representative' 'must' 'eliminate' 'individual' 'mandate' 'No' 'person' 'be' 'buy' 'insurance' 'want' 'law' 'sale' 'insurance' 'state' 'line' 'As' 'long' 'plan' 'state' 'be' 'able' 'offer' 'insurance' 'state' 'full' 'competition' 'market' 'insurance' 'cost' 'go' 'down' 'consumer' 'satisfaction' 'go' 'up' 'individual' 'insurance' 'premium' 'payment' 'tax' 'return' 'current' 'tax' 'system' 'take' 'deduction' 'so' 't' 'Congress' 'allow' 'individual' 'same' 'exemption' 'As' 'allow' 'free' 'market' 'provide' 'insurance' 'company' 'individual' 'must' 'also' 'make' 'crack' 'simply' 'not' 'insurance' 'must' 'review' 'basic' 'option' 'Medicaid' 'work' 'state' 'ensure' 'want' 'have' 'Fed' 	pos	
Hillary 'go' 'Bill' 'rapist' 'protester' 'Oh' 'irony' 'Bill' 's' 's' 'again' 'so' 'pathetic' 'integrity' 'stage' 'yesterday' 'little' 'Florida' 'Party' 'presidential' 'nominee' 'Hillary' 'Clinton' 'Bill' 'Clinton' 'rapist' 'campaign' 'Fort' 'Florida' 'Tuesday' 'saying' 'I' 'am' 'sick' 'negative' 'dark' 'dangerous' 'vision' 'people' 'support' 'Trump' 'report' 'interrupt' 'Hillary' 'Clinton' 'Clinton' 'rapist' 'Clinton' 'fire' 'right' 'back' 'am' 'sick' 'negative' 'November' 'Man' 'interrupt' 'Clinton' 'rapist' 'distraction' 'November' 'Hillary' 'start' 'screaming' 'shouting' 'Full' 'off' 'rail' 'John' 'Binder' 'November' 	neg' 	pos')
Ready 'Make' 'In' 'Pedophile' 'Island' 'At' 'Least' 'Laundering' 'Sex' 'Proof' 'Handling' 'Classified' 'Information' 'Blackwater' 'Founder' 'Navy' 'Seal' 'Prince' 'insider' 'knowledge' 'investigation' 'explain' 'FBI' 'Director' 'James' 'wa' 'investigation' 'Clinton' 's' 'email' 'last' 'week' 'warrant' 'laptop' 'sure' 'enough' 'found' 'email' 'found' 'way' 'more' 'more' 'information' 'inappropriate' 'guy' 'wa' 'Prince' 'found' 'State' 'Department' 'email' 'found' 'lot' 'other' 'really' 'criminal' 'information' 'money' 'laundering' 'fact' 'Hillary' 'island' 'pedophile' 'Epstein' 'Bill' 'Clinton' 'more' 'time' 'Hillary' 'Clinton' 'least' 'time' 'amount' 'garbage' 'found' 'email' 'criminal' 'activity' 'Hillary' 'circle' 'even' 'other' 'member' 'Congress' 'wa' 'so' 'disgusting' 'FBI' 're' 'go' 'public' 'don' 't' 'investigation' 'don' 't' 'do' 'right' 'timely' 'indictment' 'Prince' 'I' 'I' 'know' 'very' 'source' 'mine' 'One' 'Police' 'Plaza' 'York' 'do' 'press' 'conference' 'warrant' 'additional' 'arrest' 'making' 'investigation' 'huge' 'point' 'coercion' 'Justice' 'Department' 'Justice' 'Department' 'charge' 'someone' 'unrelated' 'accidental' 'heart' 'attack' 'death' 'Garner' 'almost' 'year' 'level' 'Justice' 'Department' 'justice' 'email' 'other' 'criminal' 'matter' 'Prince' 's' 'different' 'part' 'FBI' 'investigation' 'constant' 'Justice' 'Department' 'So' 'I' 'hope' 'unlikely' 'very' 'unfortunate' 'event' 'Hillary' 'Clinton' 'president' 'have' 'constitutional' 'have' 'not' 'I' 'Prince' 'Prince' 'clarify' 'revelation' 'first' 'look' 'laptop' 'Prince' 'adviser' 'Hillary' 'Clinton' 'year' 'have' 'government' 'have' 'see' 'potential' 'jail' 'time' 'many' 'year' 'crime' 'even' 'thousand' 'message' 'State' 'Department' 'Hillary' 'Clinton' 's' 'own' 'homebrew' 'information' 'face' 'kind' 'exposure' 'inappropriate' 'wa' 'other' 'information' 'So' 'first' 'get' 'computer' 'see' 'disgusting' 'keep' 'copy' 'copy' 'FBI' 'finally' 'push' 'FBI' 'off' 'making' 'investigation' 'wa' 'last' 'week' 'point' 'being' 'ha' 'information' 'pursue' 'justice' 'within' 'right' 'FBI' 't' 'Prince' 'kind' 'criminal' 'culpability' 'email' 'money' 'laundering' 'underage' 'course' 'inappropriate' 'handling' 'information' 'up' 'SAP' 'level' 'Special' 'Access' 'So' 'plot' 'wa' 'article' 'chief' 'level' 'commissioner' 'parent' 'daughter' 'not' 'let' 'level' 'evil' 'continue' 'Prince' 'FBI' 'investigate' 'matter' 't' 'grand' 'jury' 't' 'file' 'prosecutor' 'Justice' 'Department' 'ha' 'do' 'Now' 'I' 'Manhattan' 'prosecutor' 'ha' 'I' 's' 'stand-up' 'guy' 'hopefully' 'right' 's' 'reputation' 'prosecutor' 'wa' 'bad' 'news' 'people' 'bend' 'break' 'law' 'don' 't' 'really' 'care' 'Constitution' 'due' 'process' 're' 'use' 'Stalinist' 'tactic' 'someone' 'know' 'level' 'pressure' 'be' 'bear' 'even' 'most' 'tenacious' 'law' 'enforcement' 'official' 'interview' 'here' 'point' 'being' 'fortunately' 's' 'not' 'FBI' 'different' 'office' 'hunt' 'justice' 'ha' 'well' 'Prince' 'Wall' 'Street' 'Journal' 'ha' 'back' 'pressure' 'Justice' 'Department' 'FBI' 'effort' 'keep' 'sunlight' 'truth' 'transparency' 'evil' 'ha' 'slowly' 'being' 'Justice' 'Department' 'run' 'out' 'clock' 'elect' 'Hillary' 'Clinton' 'real' 'justice' 'being' 'York' 'City' 'Prince' 'ha' 'want' 'stay' 'away' 'evidence' 'so' 'bad' 'email' 'content' 'so' 'bad' 'I' 'even' 'want' 'stay' 'away' 'really' 'entire' 'story' 'News' 'share' 	pos	
Ready 'Make' 'In' 'Pedophile' 'Island' 'At' 'Least' 'Laundering' 'Sex' 'Proof' 'Handling' 'Classified' 'Information' 'citizen' 'journalist' 'Mike' 'story' 'morning' 'Danger' 'Play' 'Florida' 'resident' 'have' 're' 'not' 'absentee' 'ballot' 'Smith' 'wa' 'full-time' 'County' 'Supervisor' 'main' 'office' 'voter' 'fraud' 'scheme' 'Periscope' 'Breaking' 'news' 'Voting' 'fraud' 'uncovered' 'Florida' 'http' 'Mike' 'November' 'Florida' 'State' 'Attorney' 'fraud' 'case' 'Secretary' 'Source' 'FL' 'State' 'Attorney' 'investigator' 'County' 'Voter' 'Fraud' 'Case' 'Jack' 'November' 'Dr.' 'wa' 'Bush' 'stranger' 'October' 'Sun' 'former' 'Oakland' 'Park' 'Commissioner' 'Anne' 'ballot' 'It' 'Constitutional' 'Amendment' 'medical' 'marijuana' 'question' 'now' 'chapter' 'director' 'Florida' 'Restaurant' 'Lodging' 'Association' 'know' 'way' 'government' 'week' 'unsuccessfully' 'get' 'someone' 'election' 'office' 'pay' 'attention' 'complaint' 'wa' 'Wednesday' 'election' 'snafu' 'early' 'posting' 'primary' 'election' 'result' 'office' 'also' 'wa' 'out' 'inaccurate' 'voter' 'ID' 'card' 'ballot' 'November' 'include' 'word' 'yes' 'line' 'county' 's' 'transportation' 'sale' 'question' 'multiple' 'report' 'Hillary' 'personally' 'day' 'multiple' 'report' 'Hillary' 'personally' 'day' 'No' 'photo' 'Jack' 'November' 'former' 'Secretary' 'Department' 'employee' 'secret' 'room' 'Democrat' 'insider' 'fill' 'out' 'absentee' 'ballot' 'woman' 'testimony' 'affidavit' 'affidavit' 'Smith' 'County' 'official' 'filling' 'out' 'blank' 'absentee' 'ballot' 'filling' 'ballot' 'out' 'Supervisor' 'GP' 'Page' 	neg	
revelation 'material' 'hurt' 'renewed' 'interest' 'FBI' 'investigation' 'private' 'email' 'be' 'distraction' 'S' 'TIME' 'DRAIN' 'SWAMP' 'Director' 'James' 'Sunday' 'ha' 'Hillary' 'Clinton' 'email' 'recently' 'unrelated' 'case' 'conclusion' 'July' 'not' 'prosecute' 'Clinton' 'FBI' 's' 'original' 'investigation' 'use' 'private' 'email' 'still' 'stand' 'Congress' 'unrelated' 'case' 'review' 'additional' 'email' 'Clinton' 's' 'time' 'running' 'State' 'Department' 'FBI' 'team' 'ha' 'clock' 'process' 'review' 'large' 'volume' 'email' 'Sunday' 'follow-up' 'Congress' 'time' 'communication' 'state' 'Based' 'review' 'have' 'not' 'new' 'case' 'purportedly' 'York' 'Anthony' 'laptop' 'top' 'Clinton' 'aide' 'underage' 'female' 	pos	
people 'sick' 'evil' 'NOTHING' 'get' 'way' 'Laws' 'mean' 'mean' 'President' 'California' 'expletive' 'set' 'truck' 'fire' 'Trump' 'sticker' 'Lee' 'fishing' 'November' 'afternoon' 'Sacramento' 'He' 'white' 'Dodge' 'Ram' 'truck' 'Trump' 'sticker' 'Garden' 'Highway' 'couple' 'fishing' 'I' 'someone' 'out' 'F' 'Trump' 'Lee' 'only' 'yard' 'truck' 'wa' 'edge' 'Fed' 	pos	
